题目,选项,答案,解析,题型,难度,知识点
The British， like Americans， believe that looking someone directly in the eye is a mark of rudeness until a more intimate relationship is established.,True|False,0,无,判断题,易,非言语交际|体态语|眼神交流，非言语交际|体态语|各国的体态语，美国文化|沟通风格|非言语沟通，英国文化|沟通风格|非言语沟通
Americans make all their efforts not to be pushed or stamped on in a crowd.,True|False,1,美国人在拥挤的情况下会努力不互相推搡、踩踏。,判断题,易,非言语交际|空间与距离|个人空间与体距，非言语交际|空间与距离|各国的空间与距离观念，美国文化|沟通风格|非言语沟通
In Japan， people get squashed and pushed in the train at rush hours and everyone is very uncomfortable. However， no one yells or gets mad. Japanese people have a high tolerance of crowd in the train during the rush hour.,True|False,1,在日本上下班高峰期，人们搭乘地铁。由于人太多，地铁十分拥挤，甚至需要乘务员帮忙把乘客推挤上车。尽管车上的人感到非常不适，但仍对此默默忍受。,判断题,易,非言语交际|空间与距离|个人空间与体距，非言语交际|空间与距离|各国的空间与距离观念，日本文化|文化价值观，日本文化|沟通风格|非言语沟通
Americans tend to be self-effacing in their compliment responses.,True|False,0,无,判断题,易,社会交往与商务礼仪|社会交往通用礼仪|恭维与谦虚，美国文化|文化价值观，美国文化|沟通风格|言语沟通
American negotiation team members are usually selected on the basis of their social and professional status.,True|False,0,无,判断题,易,文化价值观|权力距离，跨文化商务谈判|代表团的组成和分工，跨文化商务谈判|北美各国谈判风格，美国文化|文化价值观，美国文化|商务文化与惯例|管理风格与文化，美国文化|商务文化与惯例|谈判风格
Germans prefer clear， firm， and assertive expression while the Japanese encourage covert， fragmented expression.,True|False,1,无,判断题,易,文化价值观|高语境和低语境文化，日本文化|文化价值观，日本文化|沟通风格|言语沟通，德国文化|文化价值观，德国文化|沟通风格|言语沟通
In Germany， business gift are usually exchanged at the beginning of formal negotiations.,True|False,0,无,判断题,易,跨文化商务谈判|迎送与会见礼仪，跨文化商务谈判|宴请招待与送礼，德国文化|社会习俗与礼仪|送礼，德国文化|商务文化与惯例|谈判风格
In Japan， a business card should be presented with both hands.,True|False,1,无,判断题,易,社会交往与商务礼仪|商务场合特殊礼仪|名片交换礼仪，社会交往与商务礼仪|不同国家的商务礼仪|亚洲各国商务礼仪，日本文化|文化价值观，日本文化|商务文化与惯例|名片交换礼仪
The British employ a negotiating style similar to that of Americans， but more silence is utilized and they are less egalitarian.,True|False,1,无,判断题,中,跨文化商务谈判|民族性格，跨文化商务谈判|欧洲各国谈判风格，英国文化|沟通风格|言语沟通，英国文化|商务文化与惯例|谈判风格，英国文化|文化价值观，美国文化|沟通风格|言语沟通，美国文化|商务文化与惯例|谈判风格，美国文化|文化价值观，文化价值观|权力距离
U.S. Americans tend to choose strategies that are group oriented.,True|False,0,无,判断题,易,跨文化交际}文化价值观|个人主义|集体主义，跨文化交际}美国文化|商务文化与惯例，跨文化交际}跨文化商务谈判|北美各国谈判风格
Women are frequent participants on a Japanese negotiation team.,True|False,0,无,判断题,易,跨文化交际}文化价值观|阳刚性与阴柔性，跨文化交际}日本文化|文化价值观
In India women enjoy the same privilege as men.,True|False,0,无,判断题,易,跨文化交际}文化价值观|阳刚性和阴柔性，跨文化交际}印度文化|文化价值观
German businessmen have serious principles about interpersonal relationship and they focus on personal credit.,True|False,1,无,判断题,易,跨文化交际}文化价值观|长期取向和短期取向，跨文化交际}德国文化|文化价值观
Japanese negotiators tend to put more emphasis on the literal meanings of words used in negotiation and less emphasis on the relationships established before negotiating begins.,True|False,0,无,判断题,易,跨文化交际}文化价值观|长期取向和短期取向，跨文化交际}日本文化|文化价值观，跨文化交际}日本文化|谈判风格，跨文化交际}跨文化商务谈判|亚洲各国谈判风格
In international trade， the subject matter of a contract refers to the goods used for exchange of consideration.,True|False,1,无,判断题,易,国际贸易实务|合同签订|国际贸易合同
The issuance date of the ocean bill of lading should be earlier than that of the insurance policy.,True|False,0,保险单的签发日期应早于海运提单的签发日期。,判断题,易,国际贸易实务|制单与审单|单据分类，国际贸易实务|制单与审单|单据种类，国际贸易实务|制单与审单|海运提单
It’s better for negotiators in the negotiating team to have similar personality.,True|False,0,谈判队伍中各人员都有相应的角色分配，与各个谈判角色相适应的性格才能发挥其谈判的最大成效。,判断题,中,国际商务谈判|组织准备|谈判组织的构成原则，国际商务谈判|组织准备|谈判团队的组织结构
Germans attach much importance to their titles. Therefore， when addressing Germans， their family name should be preceded with “Mr.”， “Madam” and “Miss”， etc. If the person you will address is a winner of PhD or a professor， you should crown their family name with “Dr.” or “Prof.”.,True|False,1,无,判断题,中,国际商务谈判|谈判礼仪|迎送与会见礼仪|介绍
The seating arrangements at the dinner party are based on the rule that the right side is more honorable than the left. And the most important guest of honor would sit on the right side of the most important host while the interpreter would sit on the left side of the most important host.,True|False,0,来宾与陪客按身份高低，仍以先右后左的次序，间隔地分坐于第一主人和第二主人两侧。如有译员，自然也安排在第一或第二客人的右侧，与主人席间隔一席，以便主宾交谈。,判断题,难,国际商务谈判|谈判礼仪|宴请礼仪|招待礼仪
The certificate of origin must show the name of the shipper or exporter.,True|False,1,原产地证明是应进口商的要求编制的，所以必须明确显示出口商或发货人的名称、地址和国家。,判断题,难,普惠制产地证，一般产地证
In interpersonal communication activities， ladies should remain restrained. It should be the man to take the initiative to shake hands.,True|False,0,握手讲究“尊者先行”，由身份尊贵者决定双方有无握手的必要。尊者主要有：女士、长辈、老师、上级、主人。,判断题,易,国际商务礼仪|会面礼仪|握手
One business occasions， a man should not wear shorts under any circumstances and a woman should not wear sandals without socks in the summer.,True|False,0,女士夏天可以光脚穿凉鞋上班。,判断题,易,国际商务礼仪|职业形象|着装
In a small scale meeting， the important position is the one facing the door.,True|False,1,无,判断题,易,国际商务礼仪|会议礼仪|席次礼仪，国际商务礼仪|坐席礼仪
